Z0,Z1,X0,X1
0.64931196,0.100067705,1.6931717,0.5240728
-0.8057987,-0.5770474,-1.0364726,-0.7004594
0.04826373,0.054975107,0.3458035,0.11696252
0.62872094,0.0768178,0.9951646,0.3359787
0.25097352,-0.41676617,0.42707884,-0.30966806
0.5611432,-0.20721243,1.1416115,-0.28942785
-0.6948275,0.5102893,-0.9482027,0.75587636
0.5837202,-0.15814202,1.1521759,-0.1511689
0.37801188,0.6149474,0.5991042,1.0663239
-0.100549184,-0.42336008,-0.020854918,-0.52897865
0.6251525,-0.005396956,1.1072989,0.19203742
-0.1268144,0.7907819,-0.16982995,1.6357697
0.27617556,-1.0927324,0.4060136,-1.8130213
0.63945484,0.14436229,1.4350603,0.52683526
0.4984445,-0.28844237,0.93123364,-0.379188
0.3143659,-0.18771727,0.64789224,-0.04082818
0.36120167,-0.41505584,0.7352916,-0.81842273
-0.053024046,0.19180252,0.019979259,0.9953883
0.034885824,0.059668176,0.08328842,0.102712244
-0.31098884,-0.14630306,-0.39975446,-0.26161185
-0.11352213,-0.42529294,-0.16203114,-0.67111856
-0.17090316,-0.4085426,-0.51086384,-0.9405489
0.54898804,-0.1968937,0.7889336,-0.052563194
-0.8969308,-0.43125603,-2.0718348,-0.8068442
0.5962906,0.3004382,0.9237338,0.64909846
-0.62788296,-0.8178706,-0.9955075,-1.1854055
0.22831048,-1.0968004,0.30808815,-1.6749774
-0.32513615,-0.08546859,-0.63217103,-0.11836412
-0.02130183,0.18769187,0.2026535,1.0176471
-0.2843719,0.08839217,-0.9302267,0.532802
0.0295292,0.040700622,0.0052781054,-0.021196522
-0.07516542,0.16639613,-0.18937233,0.40336752
0.28954062,-0.45646274,0.61239195,-0.97913206
0.63394254,0.19034712,1.430465,0.6245834
-0.053878814,-0.45370132,-0.06801197,-0.7458884
-0.4399764,0.7176901,-0.8115801,1.5704793
0.5149425,0.4890778,1.3758906,1.3366913
0.87232965,-0.7924931,1.2043891,-0.9773729
-0.8565336,0.2623,-1.1381403,0.40006098
0.16307427,-1.116612,0.23735766,-2.6801124
1.187037,-0.3251819,1.9400239,-0.21236593
0.5045363,-0.2852019,0.9778367,-0.41033882
0.030039338,0.09997785,0.12818678,0.3426181
-0.11471577,0.18104695,-0.27094105,0.71526724
0.27608773,-1.0836276,0.35652858,-1.3820755
-0.6570039,0.5924118,-1.8627386,2.0217173
0.04987166,0.10314868,0.49695358,0.53440523
0.6172567,-0.058377467,1.1842067,0.089511395
-0.8645157,-0.5118437,-2.029195,-1.0095356
0.01972281,0.050073735,-0.09402652,0.009593629
-0.94585013,-0.15452358,-1.6802502,-0.15015207
-0.76984566,0.44496605,-1.3402797,0.9112765
-0.11265264,-0.43999103,-0.34937403,-0.9787684
-0.29647136,-0.13169774,-0.26776314,-0.26548666
-0.8330872,-0.54902047,-1.3396325,-0.78312606
0.636049,0.040715225,1.3066909,0.28239012
-0.23078392,-0.32973367,-0.32682666,-0.5148104
0.5230727,0.44914958,0.77400494,0.82263255
-0.23896241,0.118506484,-0.6274551,0.41979843
0.62021744,-0.11497269,1.457104,-0.07976432
0.02104792,0.09012937,-0.016749376,0.21262456
-0.8150962,-0.59798855,-1.679919,-1.0651486
-0.316418,-0.12781788,-0.4610402,-0.23075262
1.0096339,-0.66112334,1.9285703,-1.2024208
0.51941127,0.44510686,0.70938814,0.77840304
-0.5030623,0.6923595,-1.1092228,1.8382884
0.5521703,-0.18995966,0.7856216,-0.03810211
-0.3359652,-0.08030116,-0.991867,-0.06861858
0.4140988,0.6012441,1.0870572,1.545169
-0.18386905,-1.0700821,-0.39806736,-1.8556621
0.60322636,-0.0504969,0.8220483,0.15267593
0.011707375,0.77358645,0.024351643,1.2375942
0.050122112,0.0922662,0.4515741,0.43955073
0.041052602,0.10924021,0.3794702,0.5264294
1.2265093,-0.19569299,2.0858138,0.1256734
0.60588074,0.24814363,0.84216803,0.5554217
1.0178452,-0.6320177,1.4851408,-0.7524294
0.5419331,0.439775,1.2394347,1.0959669
-0.012409806,0.20326701,0.24636845,1.0561745
1.1645125,-0.36032143,1.6064968,-0.19219846
0.038821343,0.046162635,0.16425757,0.022992799
0.63342136,0.11213217,1.134189,0.4039105
-0.15391468,0.17075343,-0.40394503,0.6234399
-0.18908468,-1.0675931,-0.38856903,-1.7862993
0.61408436,0.30996314,1.8403164,1.1133603
-0.2699981,0.0757939,-0.5921729,0.20701496
-0.3285705,0.7558135,-0.5303557,1.4599965
-0.90046245,0.18047574,-1.4230498,0.3721514
-0.53736746,0.6571527,-0.8507544,1.1487169
-0.3941795,-0.9964591,-0.99249125,-2.1122692
0.034119118,0.13467385,0.42965886,0.7251391
-0.68025595,-0.77392143,-1.3042511,-1.3323538
0.62123036,-0.11935037,1.4570011,-0.09333657
0.3724744,0.6267184,0.73499113,1.266706
-0.6284806,-0.81095725,-0.8805847,-1.0628008
0.048005853,-0.036359143,0.3930561,-0.26729906
-0.3062499,0.02212171,-0.7753061,0.18715344
0.02921228,-0.48498145,0.0071539124,-1.0614364
-0.057702687,0.1733528,-0.1134072,0.5901296
-0.23659123,0.7709714,-0.3432926,1.2461095
-0.28670475,-0.259931,-0.5921719,-0.47935927
0.7652602,-0.87710017,1.006895,-1.0387224
0.005718625,0.7953255,0.18643771,2.3647106
0.046707258,-0.48066556,0.08030478,-0.8950907
-0.2439789,0.11934515,-0.69010854,0.49823177
0.5298805,-0.9997737,0.6540947,-1.0905919
0.17124812,0.74477404,0.4515171,1.6650962
-0.11417595,0.1841075,-0.27133608,0.8070501
0.5176163,-0.24191451,0.72626,-0.101374015
0.4652912,-1.0404412,0.67050177,-1.4777457
0.48797217,0.53161734,1.538631,1.6330365
-0.2922343,-0.23086998,-0.43576822,-0.37334463
-0.14020844,0.1871301,-0.3686812,0.94241345
0.83071584,-0.84749246,1.641634,-1.7241602
-0.07402332,0.18413937,-0.12772189,0.77396417
-0.8404449,0.32133642,-1.2739809,0.57924086
-0.3061293,-0.2641615,-0.97600466,-0.6077649
0.054138985,0.07601634,0.4780769,0.3253271
1.2317691,-0.11456645,1.7954571,0.35963085
0.8268216,-0.8345511,1.1795164,-1.0985249
0.0515216,0.05394097,0.41782427,0.122946054
-0.20758747,-0.3501989,-0.24173458,-0.50838894
0.04398342,0.034137294,0.29091623,-0.058736827
-0.60736775,0.62766093,-1.5289296,1.8891819
-0.8503245,0.33927882,-2.1686268,1.0880243
-0.9342858,-0.2481409,-1.5619713,-0.30763656
0.55812925,-0.9978314,0.73356074,-1.2182937
-0.92673624,-0.2840933,-1.480096,-0.36076412
-0.24638578,-1.072184,-0.9369896,-3.0376275
0.2609625,0.6970838,0.46149144,1.2806576
0.02057514,0.78520334,0.14194925,1.77087
-0.10082307,0.17910823,-0.22407341,0.6236964
0.79486,-0.85845107,1.096184,-1.0880759
-0.2884669,-1.0356762,-0.5798362,-1.762049
1.1938603,-0.30468926,1.928129,-0.14691825
0.060544636,0.08904873,0.61153936,0.46651784
-0.77894497,-0.6522278,-1.5273154,-1.1256845
0.29218063,-0.42778465,0.47148913,-0.39270347
-0.31984043,-0.114689216,-0.5103191,-0.20313908
-0.1176825,-1.079873,-0.20340404,-1.5466284
-0.0515502,0.18692449,0.0044853482,0.9205628
0.45618868,-0.2989091,0.62858963,-0.13555476
-0.2646344,-0.28798467,-0.433106,-0.47713217
-0.844787,-0.5286522,-1.4069804,-0.7750825
0.01857765,0.078358956,-0.064763546,0.13496402
-0.17441629,0.7789659,-0.25108236,1.2664647
-0.8666442,0.25279585,-1.199784,0.41066495
-0.34734994,-0.014956362,-1.1366261,0.18928944
-0.10948118,0.16470912,-0.25705114,0.3375569
0.48315594,0.5346573,1.4438099,1.5674376
-0.16964883,0.14917308,-0.35922986,0.28155285
-0.31941986,-0.0664375,-0.53739035,-0.12390898
0.14281622,-1.1083267,0.19098943,-2.02206
0.02199212,0.130989,0.22336891,0.5825714
-0.09780386,-0.39749214,0.101188466,-0.41840264
-0.78710234,0.43567276,-1.8052857,1.1876998
0.624169,0.2112553,1.1592987,0.57326704
-0.3276444,-0.04091215,-0.88678694,0.03893485
0.037608277,-0.021863243,0.29958275,-0.29355252
1.1012102,-0.52207524,2.0293036,-0.82064575
0.27146074,-0.44593728,0.4895475,-0.6067534
-0.29963166,-0.24588083,-0.8129818,-0.48801354
-0.024965102,0.15195984,-0.0788396,0.42611852
-0.43064424,0.72787404,-0.9350899,1.9427259
0.040353592,0.80665606,0.4854114,3.4025092
0.010419273,-0.47736913,-0.0067513967,-0.9412625
0.039648075,0.00638071,0.28008604,-0.21690649
0.5826552,-0.18953218,1.3394257,-0.2867296
0.08168842,-0.46948624,0.20263094,-0.5451132
-0.062411208,-0.4555628,-0.15641488,-0.8757424
0.051766377,0.084766164,0.45422345,0.38718072
-0.5613873,0.6615443,-1.447399,2.042317
1.2162677,-0.2666725,2.4958007,-0.20452364
-0.20269613,0.1346957,-0.43137705,0.27654818
0.13554415,0.75318813,0.31061968,1.504432
-0.18955617,0.15113215,-0.47724205,0.47394484
0.033936042,0.111770414,0.26479203,0.4852865
-0.89075786,0.23680209,-1.8812937,0.6710448
-0.34478748,-0.09828459,-1.1270412,-0.11661216
-0.009262489,0.10123535,-0.14061296,0.15090528
-0.3286962,-0.04068666,-0.91980535,0.047522556
-0.22174561,-0.3502899,-0.4939287,-0.66557914
-0.31843317,-0.02409967,-0.6915689,0.030391958
0.031799573,0.0404024,0.041340273,-0.021955902
0.8287901,-0.81679255,1.0243665,-0.8420356
-0.19786307,-0.37046838,-0.40294033,-0.66306984
